"id","content","data"
2429,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011210101"",""especificacao"":""TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - PRINCIPAL"",""vlPrevisto"":""000004072000,00"",""nroSequencial"":""000045"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011210101"",""codFontRecursos"":""100"",""vlFontRecursos"":""000000200000,00"",""nroSequencial"":""000046""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011210101"",""codFontRecursos"":""106"",""vlFontRecursos"":""000003872000,00"",""nroSequencial"":""000047""}]}",2025
2430,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011210102"",""especificacao"":""TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - MULTAS E JUROS"",""vlPrevisto"":""000000600000,00"",""nroSequencial"":""000048"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011210102"",""codFontRecursos"":""106"",""vlFontRecursos"":""000000600000,00"",""nroSequencial"":""000049""}]}",2025
2431,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011210103"",""especificacao"":""TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - DÍVIDA ATIVA"",""vlPrevisto"":""000000020000,00"",""nroSequencial"":""000050"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011210103"",""codFontRecursos"":""106"",""vlFontRecursos"":""000000020000,00"",""nroSequencial"":""000051""}]}",2025
2432,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011210104"",""especificacao"":""TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO -D/A M/JUROS"",""vlPrevisto"":""000000008000,00"",""nroSequencial"":""000052"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011210104"",""codFontRecursos"":""106"",""vlFontRecursos"":""000000008000,00"",""nroSequencial"":""000053""}]}",2025
2433,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011220101"",""especificacao"":""TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL - PRINCIPAL"",""vlPrevisto"":""000009000000,00"",""nroSequencial"":""000054"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011220101"",""codFontRecursos"":""100"",""vlFontRecursos"":""000009000000,00"",""nroSequencial"":""000055""}]}",2025
2434,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011220102"",""especificacao"":""TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL - MULTAS E JUROS"",""vlPrevisto"":""000000700000,00"",""nroSequencial"":""000056"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011220102"",""codFontRecursos"":""100"",""vlFontRecursos"":""000000700000,00"",""nroSequencial"":""000057""}]}",2025
2435,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""012415001"",""especificacao"":""CONTRIB.SERV.ILUMINAÇÃO PÚBLICA-PRINCIPAL"",""vlPrevisto"":""000020000000,00"",""nroSequencial"":""000058"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""012415001"",""codFontRecursos"":""117"",""vlFontRecursos"":""000020000000,00"",""nroSequencial"":""000059""}]}",2025
2436,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""013110201"",""especificacao"":""CONC.PERM.AUT.CESSÃO DIR.USO BENS IMOV.PÚBL.-PRINCIPAL"",""vlPrevisto"":""000000200000,00"",""nroSequencial"":""000060"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""013110201"",""codFontRecursos"":""100"",""vlFontRecursos"":""000000200000,00"",""nroSequencial"":""000061""}]}",2025
2437,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""013210101"",""especificacao"":""REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL"",""vlPrevisto"":""000002748000,00"",""nroSequencial"":""000062"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""013210101"",""codFontRecursos"":""100"",""vlFontRecursos"":""000002500000,00"",""nroSequencial"":""000063""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""013210101"",""codFontRecursos"":""116"",""vlFontRecursos"":""000000005000,00"",""nroSequencial"":""000064""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""013210101"",""codFontRecursos"":""123"",""vlFontRecursos"":""000000051000,00"",""nroSequencial"":""000065""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""013210101"",""codFontRecursos"":""144"",""vlFontRecursos"":""000000001000,00"",""nroSequencial"":""000066""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""013210101"",""codFontRecursos"":""170"",""vlFontRecursos"":""000000040000,00"",""nroSequencial"":""000067""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""013210101"",""codFontRecursos"":""171"",""vlFontRecursos"":""000000050000,00"",""nroSequencial"":""000068""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""013210101"",""codFontRecursos"":""181"",""vlFontRecursos"":""000000001000,00"",""nroSequencial"":""000069""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""013210101"",""codFontRecursos"":""190"",""vlFontRecursos"":""000000100000,00"",""nroSequencial"":""000070""}]}",2025
2438,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""013399901"",""especificacao"":""OUTRAS DELEGAÇÕES DE SERVIÇOS PÚBLICOS - PRINCIPAL"",""vlPrevisto"":""000000060000,00"",""nroSequencial"":""000071"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""013399901"",""codFontRecursos"":""100"",""vlFontRecursos"":""000000060000,00"",""nroSequencial"":""000072""}]}",2025
