"id","data","content"
17484,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""1"",""nroProjAtiv"":""001"",""codNaturezaDaDespesa"":""449052"",""recurso"":""000000080000,00"",""nroSequencial"":""000023"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""1"",""nroProjAtiv"":""001"",""codNaturezaDaDespesa"":""449052"",""codFontRecursos"":""110"",""valorFonte"":""000000080000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000024"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17485,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""2"",""nroProjAtiv"":""002"",""codNaturezaDaDespesa"":""339014"",""recurso"":""000000001000,00"",""nroSequencial"":""000025"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""2"",""nroProjAtiv"":""002"",""codNaturezaDaDespesa"":""339014"",""codFontRecursos"":""110"",""valorFonte"":""000000001000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000026"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17486,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""2"",""nroProjAtiv"":""002"",""codNaturezaDaDespesa"":""339030"",""recurso"":""000000150000,00"",""nroSequencial"":""000027"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""2"",""nroProjAtiv"":""002"",""codNaturezaDaDespesa"":""339030"",""codFontRecursos"":""110"",""valorFonte"":""000000150000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000028"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17487,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""2"",""nroProjAtiv"":""002"",""codNaturezaDaDespesa"":""339033"",""recurso"":""000000005000,00"",""nroSequencial"":""000029"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""2"",""nroProjAtiv"":""002"",""codNaturezaDaDespesa"":""339033"",""codFontRecursos"":""110"",""valorFonte"":""000000005000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000030"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17488,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""2"",""nroProjAtiv"":""002"",""codNaturezaDaDespesa"":""339036"",""recurso"":""000000005000,00"",""nroSequencial"":""000031"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""2"",""nroProjAtiv"":""002"",""codNaturezaDaDespesa"":""339036"",""codFontRecursos"":""110"",""valorFonte"":""000000005000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000032"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17489,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""2"",""nroProjAtiv"":""002"",""codNaturezaDaDespesa"":""339039"",""recurso"":""000000179000,00"",""nroSequencial"":""000033"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""2"",""nroProjAtiv"":""002"",""codNaturezaDaDespesa"":""339039"",""codFontRecursos"":""110"",""valorFonte"":""000000179000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000034"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17490,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""2"",""nroProjAtiv"":""002"",""codNaturezaDaDespesa"":""339040"",""recurso"":""000000050000,00"",""nroSequencial"":""000035"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""2"",""nroProjAtiv"":""002"",""codNaturezaDaDespesa"":""339040"",""codFontRecursos"":""110"",""valorFonte"":""000000050000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000036"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17491,2025,"{""tipoRegistro"":""10"",""codPrograma"":""4008"",""codOrgao"":""18"",""codUnidade"":""02"",""codFuncao"":""17"",""codSubFuncao"":""512"",""naturezaAcao"":""1"",""nroProjAtiv"":""017"",""codNaturezaDaDespesa"":""449051"",""recurso"":""000000700000,00"",""nroSequencial"":""000037"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""4008"",""codOrgao"":""18"",""codUnidade"":""02"",""codFuncao"":""17"",""codSubFuncao"":""512"",""naturezaAcao"":""1"",""nroProjAtiv"":""017"",""codNaturezaDaDespesa"":""449051"",""codFontRecursos"":""110"",""valorFonte"":""000000700000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000038"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17492,2025,"{""tipoRegistro"":""10"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""319011"",""recurso"":""000001555000,00"",""nroSequencial"":""000039"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""319011"",""codFontRecursos"":""100"",""valorFonte"":""000001555000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000040"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17493,2025,"{""tipoRegistro"":""10"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""319094"",""recurso"":""000000200000,00"",""nroSequencial"":""000041"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""319094"",""codFontRecursos"":""100"",""valorFonte"":""000000200000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000042"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
